City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Mahon,ES,39.8885,4.2658,55.96,94,100,10.36,overcast clouds
280,Egvekinot,RU,66.3167,-179.1667,9.45,88,100,3.36,overcast clouds
281,Ojinaga,MX,29.5667,-104.4167,86.95,10,0,0.0,clear sky
282,San Vicente,AR,-26.6167,-54.1333,57.36,87,0,2.01,clear sky
283,Melchor De Mencos,GT,17.0686,-89.1522,78.8,53,0,4.61,clear sky
284,Jumla,NP,29.2747,82.1838,46.33,39,0,5.12,clear sky
285,Cabo San Lucas,MX,22.8909,-109.9124,82.62,47,3,7.74,clear sky
286,Elat,IL,29.5581,34.9482,53.44,40,0,11.5,clear sky
287,Rosarito,MX,32.3333,-117.0333,70.66,75,31,4.54,scattered clouds
288,Shihezi,CN,44.3,86.0333,39.65,56,74,4.94,broken clouds
289,Fare,PF,-16.7,-151.0167,81.73,73,7,13.4,light rain
290,Vanimo,PG,-2.6741,141.3028,80.69,86,100,4.32,overcast clouds
291,Porto Belo,BR,-27.1578,-48.5531,75.15,84,87,7.36,overcast clouds
292,Filadelfia,US,39.9523,-75.1638,46.42,53,40,19.57,scattered clouds
293,Zverinogolovskoye,RU,54.4586,64.8542,-4.7,100,24,4.47,few clouds
294,Azul,AR,-36.777,-59.8585,56.32,89,0,5.75,clear sky
295,Pitimbu,BR,-7.4706,-34.8086,77.59,82,98,5.08,overcast clouds
296,Matagami,CA,49.7502,-77.6328,12.31,79,100,28.77,light snow
297,Shaoyang,CN,27.2315,111.4525,50.22,91,100,3.38,light rain
298,Buchanan,LR,5.8808,-10.0467,78.98,90,78,1.5,light rain
299,Netivot,IL,31.4222,34.5886,51.8,75,0,4.76,clear sky
300,Inuvik,CA,68.3499,-133.7218,5.86,51,20,9.22,few clouds
301,Barcelona,ES,41.3888,2.159,56.53,75,20,6.91,few clouds
302,Tuxpan,MX,19.55,-103.4,74.97,21,0,5.66,clear sky
303,Santarem,BR,-2.4431,-54.7083,82.53,89,20,5.75,moderate rain
304,Kestel,TR,40.1983,29.2124,26.08,63,0,2.86,clear sky
305,Port Hedland,AU,-20.3167,118.5667,87.85,58,83,12.66,broken clouds
306,Benjamin Aceval,PY,-24.9667,-57.5667,69.94,78,0,2.62,clear sky
307,Tasiilaq,GL,65.6145,-37.6368,17.37,59,0,10.09,clear sky
308,Pilar,BR,-9.5972,-35.9567,78.73,91,80,3.09,broken clouds
309,Berdigestyakh,RU,62.0989,126.6992,19.04,93,97,6.33,overcast clouds
310,Pundaguitan,PH,6.3711,126.1689,79.74,80,100,8.99,heavy intensity rain
311,Yabrud,SY,33.9674,36.6574,35.15,78,11,3.15,few clouds
312,Nemuro,JP,43.3236,145.575,39.7,96,100,11.03,overcast clouds
313,Port Blair,IN,11.6667,92.75,77.04,94,20,2.3,mist
314,Labuhan,ID,-6.8844,112.2051,80.44,76,84,5.84,broken clouds
315,Anadyr,RU,64.75,177.4833,-1.7,78,40,2.24,fog
316,Richards Bay,ZA,-28.783,32.0377,67.8,93,24,4.83,few clouds
317,Gerash,IR,27.6652,54.1371,51.94,13,0,6.58,clear sky
318,Anloga,GH,5.7947,0.8973,82.29,87,100,11.32,overcast clouds
319,Timra,SE,62.487,17.3257,31.68,74,100,1.14,overcast clouds
320,Parry Sound,CA,45.3501,-80.033,32.05,93,100,12.33,overcast clouds
321,Iqaluit,CA,63.7506,-68.5145,17.33,79,40,4.61,scattered clouds
322,Manakara,MG,-22.1333,48.0167,74.88,93,24,3.31,few clouds
323,Shubarkuduk,KZ,49.1447,56.4872,13.24,100,52,4.92,broken clouds
324,Ancud,CL,-41.8697,-73.8203,52.23,88,4,8.59,light rain
325,Geraldton,AU,-28.7667,114.6,73.81,88,75,5.75,broken clouds
326,Ormond Beach,US,29.2858,-81.0559,70.02,46,20,13.8,few clouds
327,Hofn,IS,64.2539,-15.2082,45.37,94,100,10.04,overcast clouds
328,Pankovka,RU,58.5,31.1999,23.92,79,100,19.39,overcast clouds
329,Batagay-Alyta,RU,67.8006,130.4114,9.23,69,100,3.38,overcast clouds
330,Kamina,CD,-8.7386,24.9906,64.17,96,100,2.75,overcast clouds
331,Kaitangata,NZ,-46.2817,169.8464,62.42,63,1,4.7,clear sky
332,Victor Harbor,AU,-35.5667,138.6167,73.99,61,73,4.54,broken clouds
333,Troitsko-Pechorsk,RU,62.7084,56.1964,27.52,96,100,11.61,snow
334,Krasnovishersk,RU,60.4078,57.082,30.11,91,100,13.73,overcast clouds
335,Laurel,US,39.0993,-76.8483,44.76,65,0,18.41,clear sky
336,Yenagoa,NG,4.9247,6.2642,79.95,87,28,5.99,scattered clouds
337,La Palma,US,33.8464,-118.0467,82.67,68,0,9.22,clear sky
338,Mahibadhoo,MV,3.7833,72.9667,81.34,64,22,6.15,few clouds
339,Todos Santos,MX,23.45,-110.2167,71.44,73,9,5.35,clear sky
340,Acapulco,MX,16.8634,-99.8901,78.62,69,100,8.05,overcast clouds
341,Waingapu,ID,-9.6567,120.2641,83.07,71,12,2.35,few clouds
342,Hanmer Springs,NZ,-42.5167,172.8167,65.97,55,3,5.39,clear sky
343,Mkushi,ZM,-13.6202,29.3939,63.52,95,100,2.46,overcast clouds
